name,price,imageUrl,link,origin,weight,size,clarity,color,shape,enhancement,comment
天然ヴェイリネナイト 0.83ct 【美発色オレンジピンク】大粒美品 パキスタン,"￥268,000(税込)",https://makeshop-multi-images.akamaized.net/mineralagent/itemimages/0000000223812_gQtJ29B.jpg,/view/item/000000022381,パキスタン,0.83ct,9.1×3.8×2.6mm,VVS1,オレンジピンク,アンティークカット,NONE,パキスタン産ヴェイリネナイトをご紹介です！！ 色鮮やかなオレンジピンクから目が離せないレアストーン 宝石質のモノが少なく、結晶の大きさも極少サイズが一般的な知る人ぞ知る希少石！ このハツラツとした美発色は上質なパパラチャサファイアを思わせます。 そんな希少な宝石ですが、今回なんと0.83ctとヴェイリネナイトとしては大きく、しかも透明度抜群の高品質な一石！！ 縦長のエレガントなアンティークカットで美しい照りをご堪能いただける正に美品♪ また滅多に出会えない好条件はコレクションにもお勧めです！ 可愛らしく希少なヴェイリネナイトを是非ご堪能下さいませ(^^)/ 
天然スフェーン 2.52ct 【強輝・イエロー】 マダガスカル,"￥83,600(税込)",https://makeshop-multi-images.akamaized.net/mineralagent/itemimages/0000000223602_jhIB5eC.jpg,/view/item/000000022360,マダガスカル,2.52ct,9.6×7.4×5.4mm,IF,イエロー,ペアシェイプカット,NONE,華やかな煌めきをご堪能いただける2.52ctのペアシェイプカット♪ 明るいイエローカラーから弾けるような強い煌めきをご覧頂ける正に美品のスフェーンです！ たっぷりとした大きさと輝きの中に感じるレッド・グリーン等の複数の色味がキラキラ動く様子はいつまでも見ていたくなります。 IFクラス(当店比)で抜群の存在感をかんじられる綺麗なイエロースフェーン♪ この機会に是非お手元でお楽しみ下さい(^^)/
天然カラーチェンジガーネット 0.36ct 【アレキタイプ】 マダガスカル・ベキリー,"￥69,800(税込)",https://makeshop-multi-images.akamaized.net/mineralagent/itemimages/0000000223672_z4h4ha6.jpg,/view/item/000000022367,マダガスカル・ベキリー,0.36ct,5.2×3.9×2.4mm,VVS1-VVS2,グレイッシュブルー～パープリッシュピンク,ペアシェイプカット,NONE,マダガスカル・ベキリー産カラーチェンジガーネット（アレキタイプ）をご紹介です！！ディープブルー～パープリッシュピンクへ激変のアレキタイプ妖艶で魅惑的な青から赤への変化に目が離せません(*´▽｀*)整ったペアシェイプカットは濃色ながらも照りがあり質の良さが良くわかる一石目立つインクルもあまりなく、また地色の濃さにより一切気になりません！是非お手元でお楽しみください♪
天然ブラックオパール 0.83ct 【ブルーグリーン遊色】 ライトニングリッジ,"￥39,000(税込)",https://makeshop-multi-images.akamaized.net/mineralagent/itemimages/0000000223092_Rf3hYsd.jpg,/view/item/000000022309,オーストラリア,0.83ct,7.7×5.4×3.4mm,トランスルーセント,グリーン・ブルー,ペアシェイプカボションカット,NONE,オーストラリア産ブラックオパールをご紹介です！！ ぷっくりとした厚みのあるペアシェイプカボションにブルーグリーンの遊色が広がるこちらのピース シェイプと遊色が相まって瑞々しい水滴の様な印象がとても可愛らしいです♪ この機会に是非お手元でお楽しみ下さい(^^)/
天然モルガナイト 0.63ct 【ピンク】　トリリアント マダガスカル,"￥12,600(税込)",https://makeshop-multi-images.akamaized.net/mineralagent/itemimages/0000000182632_kTXRBEL.jpg,/view/item/000000018263,マダガスカル,0.63ct,5.7×5.6×4.0mm,VVS1,ピンク,トリリアントカット,加熱, *ルーペにてガードルクラウン側1か所極小ニック確認
天然バイカラーサファイア 0.30ct 【ブルー&ライトイエロー】 スリランカ,"￥8,000(税込)",https://makeshop-multi-images.akamaized.net/mineralagent/itemimages/0000000219092_QXdECja.jpg,/view/item/000000021909,,,,,,,,N/A
天然アメトリン 10ｍｍ【ハートシェイプ】ワンランクアップの輝き,"￥7,800(税込)",https://makeshop-multi-images.akamaized.net/mineralagent/itemimages/0000000223132_opCUC6k.jpg,/view/item/000000022313,ボリビア,3.44ct,10.1×10.0×6.4mm,VVS1,パープル・イエロー,ハートシェイプカット,NONE,※ミックスカラーの為鑑別機関によってはアメトリン表記されない場合もございます
天然アメトリン 10ｍｍ 【ラウンド】ボリビア,"￥7,800(税込)",https://makeshop-multi-images.akamaized.net/mineralagent/itemimages/0000000223312_tyyTLJc.jpg,/view/item/000000022331,ボリビア,3ctアップ,約10.0×10.0×6.5mm,VVS1,パープル・イエロー,ラウンドカット,NONE,※ミックスカラーの為鑑別機関によってはアメトリン表記されない場合もございます。
天然バイカラーサファイア　0.25ct　【ブルー&イエロー】　スリランカ,"￥6,700(税込)",https://makeshop-multi-images.akamaized.net/mineralagent/itemimages/0000000218762_D5n5y5Q.jpg,/view/item/000000021876,,,,,,,,N/A
天然ペリドット 0.45ct 【隕石・レインボー】 パラサイト,"￥154,000(税込)",https://makeshop-multi-images.akamaized.net/mineralagent/itemimages/0000000223982_aIkkejD.jpg,/view/item/000000022398,インドネシア・ジェパラ,0.45ct,5.2×3.9×3.1mm,VVS2-VS(アイクリーン),オリーブグリーン,オーバルカット,NONE,ロマンあふれる宇宙由来のペリドットをご紹介です！！ 美しいオリーブグリーンが照る0.45ctのオーバルカット パラサイト特有の細やかなニードルインクルージョンが五月雨の様に散見し、光源や角度によって虹色の光沢を帯びる様子はなんとも神秘的です。 もちろん肉眼レベルでは美観を損なっておらず、輝きや透明度をしっかりと感じられます。 隕石の中から宝石質のキレイな部分のみを切り出し磨き上げた希少なパラサイトペリドット、極小サイズが多い中で0.45ctは比較的大きさのしっかりとあるピースです。 コレクションとしても、ジュエリーとしてもお勧めな良質で魅力的なこちらのピース、この機会に是非お手元でご堪能下さいませ(^^)/
天然トルマリン 0.77ct 【インディゴライト】 ブラジル 日独ソ付,"￥76,300(税込)",https://makeshop-multi-images.akamaized.net/mineralagent/itemimages/0000000223642_6OH6fZJ.jpg,/view/item/000000022364,ブラジル,0.77ct,7.1×4.1×2.3mm,IF-VVS1,インディゴブルー,オクタゴンカット,加熱,ブラジル産ブルートルマリン（インディゴライト）をご紹介です！！ 鮮やかな美発色ブルーが輝くこちらのトルマリン 明るさと色の濃さが絶妙なバランス、瑞々しい青から目が離せません♪ オクタゴンカットからの縦長のシャープな照り返しがとても爽快感のある華やかさ！ 一目で美しいと伝わってくる上質なンディゴライトです。 約7×4ｍｍのオクタゴンカットでジュエリーにもお勧め。 この機会に是非お手元でお楽しみ下さい(^^)/  ※日独宝石研究所ソーティングを取得しておりますのでお付け致します。
天然アンデシンラブラドライト 1.12ct 【レインボーシラー】 マダガスカル,"￥25,000(税込)",https://makeshop-multi-images.akamaized.net/mineralagent/itemimages/0000000223822_j4oVLL3.jpg,/view/item/000000022382,マダガスカル,1.12ct,6.6×6.1×5.2mm,VVS1-VVS2,レインボーシラー,オーバルカット,NONE,中央に広がるオレンジを始め複数の色味が浮かび上がる魅力的な一石 1カラットアップの丸みが強いオーバルカットで輝きの良い良質なアンデシンラブラドライト 是非お手元にてお楽しみ下さい(^^)/
天然トルマリン 0.39ct 【アイスブルーカラー】ナミビア,"￥10,800(税込)",https://makeshop-multi-images.akamaized.net/mineralagent/itemimages/0000000222752_UQurUQr.jpg,/view/item/000000022275,ナミビア,0.39ct,4.1×4.1×3.2mm,IF-VVS1,アイスブルー,アメリカンオクタゴンカット,NONE,ナミビア産トルマリンをご紹介です！ スッキリとしたアイスブルーカラーが照るこちらのピース 精密なアメリカンカットを施した美しいトルマリンです。 0.39ctと小粒ながらも良質で魅力的なルースをお楽しみ下さい(^^)/
天然ロードクロサイト 5.22ct 【スィートホーム極上美品】 TOPジェム品質,"￥1,380,000(税込)",https://makeshop-multi-images.akamaized.net/mineralagent/itemimages/0000000222992_E9StnoQ.jpg,/view/item/000000022299,アメリカ・スイートホーム,5.22ct,19.6×7.4×5.3mm,VVS2,オレンジピンク,オクタゴンカット,NONE,極上・TOPクオリティーのスイートホーム産ロードクロサイトが登場！！ ご覧くださいこの最高の美発色♪ インクルが多く不透明なモノが多いロードクロサイト しかしこちらは別格の透明感と極上の色乗りに一目で惹きつけられる正に極上美品！ ロードクロサイトとしては信じられない位にクリアな5.22ctオクタゴンカット希少なジェムクラスの美品はウットリする程に美しく輝きの素晴らしい一石です！ コレクションとしてもお勧めな見応えのある逸品(*^^)v 高品質さと希少性を兼ね備えたこちらのピースは滅多に出会えるものではありません。 自分へのご褒美や特別なプレゼントにもお勧め♪ 天然の美しさが詰まった極上品ロードクロサイトをお手元でご堪能下さい(^^)/
